Datetime,YEAR,MONTH,DAY,SST,Temperature
2018-09-18,2018.0,9.0,18.0,10.978169014084509,10.080919687937552
2018-09-19,2018.0,9.0,19.0,10.54055944055944,9.735737346617507
2018-09-20,2018.0,9.0,20.0,10.606293706293707,9.78758792101955
2018-09-21,2018.0,9.0,21.0,10.754861111111113,9.90477650130041
2018-09-22,2018.0,9.0,22.0,10.947142857142856,10.0564465453392
2018-09-23,2018.0,9.0,23.0,10.757638888888893,9.906967586448015
2018-09-24,2018.0,9.0,24.0,11.02867132867133,10.120755441645443
2018-09-25,2018.0,9.0,25.0,11.240972222222226,10.288216402131122
2018-09-26,2018.0,9.0,26.0,11.25804195804196,10.301680850197254
2018-09-27,2018.0,9.0,27.0,11.260416666666664,10.303553998164345
2018-09-28,2018.0,9.0,28.0,11.823776223776223,10.747926751168025
2018-09-29,2018.0,9.0,29.0,12.166433566433568,11.01821166028506
2018-09-30,2018.0,9.0,30.0,13.01398601398601,11.686753108958204
2018-10-01,2018.0,10.0,1.0,13.872857142857145,12.364222627661375
2018-10-02,2018.0,10.0,2.0,13.779166666666667,12.29032045575433
2018-10-03,2018.0,10.0,3.0,13.902097902097905,12.38728746524113
2018-10-04,2018.0,10.0,4.0,13.608333333333334,12.15556871917668
2018-10-05,2018.0,10.0,5.0,13.775,12.287033828032923
2018-10-06,2018.0,10.0,6.0,13.465277777777779,12.042727834075071
2018-10-07,2018.0,10.0,7.0,12.474305555555556,11.261058207667322
2018-10-08,2018.0,10.0,8.0,11.761971830985914,10.699176023812193
2018-10-09,2018.0,10.0,9.0,11.475,10.472815325816761
2018-10-10,2018.0,10.0,10.0,11.831468531468532,10.753994371576777
2018-10-11,2018.0,10.0,11.0,12.315384615384614,11.135702855472665
2018-10-12,2018.0,10.0,12.0,13.5056338028169,12.074560289423712
2018-10-13,2018.0,10.0,13.0,13.779577464788732,12.29064448947334
2018-10-14,2018.0,10.0,14.0,13.43191489361702,12.016411502887356
2018-10-15,2018.0,10.0,15.0,13.990277777777774,12.456842926972234
2018-10-16,2018.0,10.0,16.0,14.374647887323942,12.760030476727675
2018-10-17,2018.0,10.0,17.0,14.188194444444445,12.612957743739027
2018-10-18,2018.0,10.0,18.0,14.351388888888893,12.741683996160768
2018-10-19,2018.0,10.0,19.0,14.315277777777775,12.71319988924191
2018-10-20,2018.0,10.0,20.0,14.377777777777775,12.762499305063
